id,title,location and city,start_datetime,end_datetime,mode,price,description,city,mode_clean,price_type,embed_text,url
0,18TH ENGIEXPO INDUSTRIAL EXHIBITION VADODARA 2026,"Anusuya Leprosy Ground, Vadodara",2026-02-07T09:30:00+05:30,2026-02-09T18:30:00+05:30,In-person,Free,"Industrial exhibition showcasing engineering innovation, technology, and networking opportunities for industry professionals and startups",Vadodara,in_person,free,"18th engiexpo industrial exhibition vadodara 2026 industrial exhibition showcasing engineering innovation, technology, and networking opportunities for industry professionals and startups vadodara in_person free",https://www.eventbrite.com/e/18th-engiexpo-industrial-exhibition-vadodara-2026-tickets-1244535000689?aff=ebdssbdestsearch
1,ANVAYA – The Innovation Summit 2026,"NIMHANS Convention Centre, Bengaluru",2026-01-22T08:30:00+05:30,2026-01-22T18:00:00+05:30,In-person,Not specified,"In-person innovation summit bringing together bright minds, tech enthusiasts, and startup communities to spark creativity, share ideas, and network",Bengaluru,in_person,unknown,"anvaya – the innovation summit 2026 in-person innovation summit bringing together bright minds, tech enthusiasts, and startup communities to spark creativity, share ideas, and network bengaluru in_person",https://www.eventbrite.com/e/anvaya-the-innovation-summit-2026-tickets-1979286461086?aff=ebdssbdestsearch
2,Software Training Institute,"Kumbha Marg, Sunny Nagar, Jaipur",Not specified,Not specified,In-person,Free,"Hands-on software training event with expert-led sessions focused on real-world applications, skill development, and networking for beginners and professionals",Jaipur,in_person,free,"software training institute hands-on software training event with expert-led sessions focused on real-world applications, skill development, and networking for beginners and professionals jaipur in_person free",https://www.eventbrite.com/e/software-training-institute-tickets-1585480878989?aff=ebdssbdestsearch
3,Global Art & Design Education Expo 2026 - Hyderabad,"Taj Krishna, Hyderabad",2026-03-12T14:45:00+05:30,2026-03-12T19:00:00+05:30,In-person,Free,"India’s largest art and design focused higher education expo bringing together leading creative institutes, academicians, and students to explore careers in arts, design, and creative technology",Hyderabad,in_person,free,"global art & design education expo 2026 - hyderabad india’s largest art and design focused higher education expo bringing together leading creative institutes, academicians, and students to explore careers in arts, design, and creative technology hyderabad in_person free",https://www.eventbrite.com/e/global-art-design-education-expo-2026-hyderabad-tickets-1980443688384?aff=ebdssbdestsearch
4,"IC4Es-2026: Two Days International Conference on E-commerce, E-management, E-learning, E-governance & Sustainability","Kalinga University, Naya Raipur",2026-02-13T10:00:00+05:30,2026-02-14T16:00:00+05:30,Hybrid,Paid,"International academic conference focusing on digital innovation across e-commerce, e-management, e-learning, e-governance, and sustainability, bringing together researchers, academicians, industry experts, and students to discuss emerging trends, research, and practical applications aligned with sustainable development goals",Naya Raipur,hybrid,paid,"ic4es-2026: two days international conference on e-commerce, e-management, e-learning, e-governance & sustainability international academic conference focusing on digital innovation across e-commerce, e-management, e-learning, e-governance, and sustainability, bringing together researchers, academicians, industry experts, and students to discuss emerging trends, research, and practical applications aligned with sustainable development goals naya raipur hybrid paid",https://www.eventbrite.com/e/ic4es-2026-two-days-international-conference-on-e-commerce-e-management-tickets-1904922437289?aff=ebdssbdestsearch
5,HEAL Uttarakhand Research Center Launch Event,"Jhutiya Talla Ramgarh, Nainital",2026-02-28T10:00:00+05:30,2026-02-28T23:30:00+05:30,In-person,Free,"Launch event for HEAL’s Resource and Wellness Center in the Himalayas, focused on research, wellness, and sustainable development in the fields of science, technology, and medicine",Nainital,in_person,free,"heal uttarakhand research center launch event launch event for heal’s resource and wellness center in the himalayas, focused on research, wellness, and sustainable development in the fields of science, technology, and medicine nainital in_person free",https://www.eventbrite.co.uk/e/heal-uttarakhand-research-center-launch-event-tickets-1752014184589?aff=ebdssbdestsearch
6,"Electric Exhibition 2026 – India’s Biggest Electrical, Electronics, Solar","Gujarat University Convention & Exhibition Centre, Ahmedabad",2026-06-05T10:00:00+05:30,2026-06-07T18:00:00+05:30,In-person,Free,"India’s leading B2B trade exhibition showcasing electrical, electronics, power, solar energy, LED lighting, industrial automation, and smart technology solutions with live demos, product launches, and industry networking",Ahmedabad,in_person,free,"electric exhibition 2026 – india’s biggest electrical, electronics, solar india’s leading b2b trade exhibition showcasing electrical, electronics, power, solar energy, led lighting, industrial automation, and smart technology solutions with live demos, product launches, and industry networking ahmedabad in_person free",https://www.eventbrite.com.au/e/electric-exhibition-2026-indias-biggest-electrical-electronics-solar-tickets-1976322596086?aff=ebdssbdestsearch
7,"Adhesives, Sealants & Bonding Expo 2026","Bharat Mandapam, New Delhi",2026-07-29T10:00:00+05:30,2026-07-29T18:00:00+05:30,In-person,Free,"India’s only dedicated trade exhibition for adhesives, sealants, and bonding technologies, bringing together manufacturers, suppliers, and buyers to explore innovations, applications, and business opportunities across multiple industries",New Delhi,in_person,free,"adhesives, sealants & bonding expo 2026 india’s only dedicated trade exhibition for adhesives, sealants, and bonding technologies, bringing together manufacturers, suppliers, and buyers to explore innovations, applications, and business opportunities across multiple industries new delhi in_person free",https://www.eventbrite.com/e/adhesives-sealants-bonding-expo-2026-tickets-1969101149545?aff=ebdssbdestsearch
8,FutureScope'26: From Ideas to Intelligent Outcomes,"Vivanta Taj, Bengaluru",2026-03-14T09:00:00+05:30,2026-03-14T16:30:00+05:30,In-person,Free,"Premier tech conference in Bangalore focusing on practical applications of AI agents, product management, and business analysis, featuring hands-on workshops, industry insights, and networking opportunities",Bengaluru,in_person,free,"futurescope'26: from ideas to intelligent outcomes premier tech conference in bangalore focusing on practical applications of ai agents, product management, and business analysis, featuring hands-on workshops, industry insights, and networking opportunities bengaluru in_person free",https://www.eventbrite.com/e/futurescope26-from-ideas-to-intelligent-outcomes-tickets-1980168033894?aff=ebdssbdestsearch
9,Renewable & Hydro Energy Expo Uttarakhand,"SIDCUL, Haridwar",2026-05-14T10:00:00+05:30,2026-05-16T18:00:00+05:30,In-person,Free,"B2B renewable energy exhibition covering hydro, solar, wind, bioenergy, and energy storage, showcasing green technologies and enabling networking among government, industry, investors, and academia",Haridwar,in_person,free,"renewable & hydro energy expo uttarakhand b2b renewable energy exhibition covering hydro, solar, wind, bioenergy, and energy storage, showcasing green technologies and enabling networking among government, industry, investors, and academia haridwar in_person free",https://www.eventbrite.com/e/renewable-hydro-energy-expo-uttarakhand-tickets-1976431077557?aff=ebdssbdestsearch
